condition,outcome,ate
Former skeptics,inst_trust_mean,2.163
Former skeptics,newsletter_signup,0.0264
Former skeptics,policy_general,3.325
Former skeptics,policy_role_mean,3.150
Former skeptics,policy_specific_mean,2.725
Former skeptics,trust_multidimensional,4.312
Former skeptics,trust_post,3.938
High public trust,behavior_mean,1.125
High public trust,belief_post,1.875
High public trust,concern_mean,0.975
High public trust,distrust_post,-5.475
High public trust,donation_ams,0.221
High public trust,funding_perceptions,0.688
High public trust,inst_trust_mean,2.350
High public trust,newsletter_signup,0.0221
High public trust,policy_general,2.225
High public trust,policy_role_mean,1.587
High public trust,policy_specific_mean,1.812
High public trust,trust_multidimensional,3.400
High public trust,trust_post,4.287
Measurement & modeling (2),behavior_mean,0.125
Measurement & modeling (2),belief_post,0.812
Measurement & modeling (2),concern_mean,0.125
Measurement & modeling (2),distrust_post,-1.613
Measurement & modeling (2),donation_ams,0.050
Measurement & modeling (2),funding_perceptions,0.562
Measurement & modeling (2),inst_trust_mean,0.650
Measurement & modeling (2),newsletter_signup,0.0044
Measurement & modeling (2),policy_general,0.287
Measurement & modeling (2),policy_role_mean,0.312
Measurement & modeling (2),policy_specific_mean,0.550
Measurement & modeling (2),trust_multidimensional,1.450
Measurement & modeling (2),trust_post,1.538
Peer-review,behavior_mean,1.125
Peer-review,belief_post,2.250
Peer-review,concern_mean,1.650
Peer-review,distrust_post,-3.812
Peer-review,donation_ams,0.236
Peer-review,funding_perceptions,1.163
Peer-review,inst_trust_mean,2.062
Peer-review,newsletter_signup,0.0199
Peer-review,policy_general,2.025
Peer-review,policy_role_mean,1.938
Peer-review,policy_specific_mean,2.138
Peer-review,trust_multidimensional,3.175
Peer-review,trust_post,3.612
Scientist community helpers,behavior_mean,2.225
Scientist community helpers,belief_post,2.275
Scientist community helpers,concern_mean,2.837
Scientist community helpers,distrust_post,-4.662
Scientist community helpers,donation_ams,0.386
Scientist community helpers,funding_perceptions,1.625
Scientist community helpers,inst_trust_mean,2.400
Scientist community helpers,newsletter_signup,0.0267
Scientist community helpers,policy_general,2.487
Scientist community helpers,policy_role_mean,3.413
Scientist community helpers,policy_specific_mean,2.650
Scientist community helpers,trust_multidimensional,3.450
Scientist community helpers,trust_post,3.775
Consensus,behavior_mean,1.587
Consensus,belief_post,4.875
Consensus,concern_mean,2.975
Consensus,distrust_post,-4.862
Consensus,donation_ams,0.300
Consensus,funding_perceptions,1.438
Consensus,inst_trust_mean,2.462
Consensus,newsletter_signup,0.0237
Consensus,policy_general,2.962
Consensus,policy_role_mean,1.562
Consensus,policy_specific_mean,2.513
Consensus,trust_multidimensional,3.688
Consensus,trust_post,4.562
Portrait Prof. Cherry,behavior_mean,0.838
Portrait Prof. Cherry,belief_post,1.562
Portrait Prof. Cherry,concern_mean,0.850
Portrait Prof. Cherry,distrust_post,-3.312
Portrait Prof. Cherry,donation_ams,0.286
Portrait Prof. Cherry,funding_perceptions,1.275
Portrait Prof. Cherry,inst_trust_mean,1.938
Portrait Prof. Cherry,newsletter_signup,0.0131
Portrait Prof. Cherry,policy_general,1.800
Portrait Prof. Cherry,policy_role_mean,2.325
Portrait Prof. Cherry,policy_specific_mean,1.525
Portrait Prof. Cherry,trust_multidimensional,2.450
Portrait Prof. Cherry,trust_post,2.375
Model accuracy,behavior_mean,1.637
Model accuracy,belief_post,3.900
Model accuracy,concern_mean,3.062
Model accuracy,distrust_post,-4.750
Model accuracy,donation_ams,0.307
Model accuracy,funding_perceptions,1.775
Model accuracy,inst_trust_mean,2.700
Model accuracy,newsletter_signup,0.0234
Model accuracy,policy_general,2.750
Model accuracy,policy_role_mean,1.663
Model accuracy,policy_specific_mean,2.612
Model accuracy,trust_multidimensional,3.775
Model accuracy,trust_post,4.513
Interview Prof. Sebille,behavior_mean,1.887
Interview Prof. Sebille,belief_post,2.125
Interview Prof. Sebille,concern_mean,3.562
Interview Prof. Sebille,distrust_post,-2.525
Interview Prof. Sebille,donation_ams,0.179
Interview Prof. Sebille,funding_perceptions,1.625
Interview Prof. Sebille,inst_trust_mean,1.150
Interview Prof. Sebille,newsletter_signup,0.0140
Interview Prof. Sebille,policy_general,2.413
Interview Prof. Sebille,policy_role_mean,2.150
Interview Prof. Sebille,policy_specific_mean,2.337
Interview Prof. Sebille,trust_multidimensional,2.362
Interview Prof. Sebille,trust_post,2.587
Extreme weather predictions,behavior_mean,2.612
Extreme weather predictions,belief_post,2.475
Extreme weather predictions,concern_mean,4.213
Extreme weather predictions,distrust_post,-4.513
Extreme weather predictions,donation_ams,0.386
Extreme weather predictions,funding_perceptions,2.288
Extreme weather predictions,inst_trust_mean,2.487
Extreme weather predictions,newsletter_signup,0.0290
Extreme weather predictions,policy_general,3.075
Extreme weather predictions,policy_role_mean,3.188
Extreme weather predictions,policy_specific_mean,2.375
Extreme weather predictions,trust_multidimensional,3.388
Extreme weather predictions,trust_post,3.175
